slug,trade,category,unit,unit_label,low_usd,typical_usd,high_usd,source_url
"home-staging","home staging","Home Services","project","per project","800","2500","8000","https://getwhattocharge.com/how-much-to-charge-for/home-staging"
"home-organizing","home organizing","Home Services","hour","per hour","50","80","150","https://getwhattocharge.com/how-much-to-charge-for/home-organizing"
"commercial-cleaning","commercial cleaning","Home Services","sqft","per square foot","0.05","0.12","0.25","https://getwhattocharge.com/how-much-to-charge-for/commercial-cleaning"
"airbnb-cleaning","airbnb turnover cleaning","Home Services","job","per turnover","60","110","250","https://getwhattocharge.com/how-much-to-charge-for/airbnb-cleaning"
"upholstery-cleaning","upholstery cleaning","Home Services","job","per job","75","150","400","https://getwhattocharge.com/how-much-to-charge-for/upholstery-cleaning"
"chimney-sweep","chimney sweep","Home Services","job","per job","150","250","500","https://getwhattocharge.com/how-much-to-charge-for/chimney-sweep"
"air-duct-cleaning","air duct cleaning","Home Services","job","per job","300","500","1000","https://getwhattocharge.com/how-much-to-charge-for/air-duct-cleaning"
"dryer-vent-cleaning","dryer vent cleaning","Home Services","job","per job","80","140","300","https://getwhattocharge.com/how-much-to-charge-for/dryer-vent-cleaning"
"wallpaper-installation","wallpaper installation","Home Services","job","per room","200","600","2000","https://getwhattocharge.com/how-much-to-charge-for/wallpaper-installation"
"smart-home-installation","smart home installation","Home Services","job","per job","150","500","3000","https://getwhattocharge.com/how-much-to-charge-for/smart-home-installation"
"home-inspection","home inspection","Home Services","job","per job","300","450","800","https://getwhattocharge.com/how-much-to-charge-for/home-inspection"
"tax-preparation","tax preparation","Business & Professional","return","per return","150","350","1200","https://getwhattocharge.com/how-much-to-charge-for/tax-preparation"
"business-consulting","business consulting","Business & Professional","hour","per hour","100","250","600","https://getwhattocharge.com/how-much-to-charge-for/business-consulting"
"notary-public","notary services","Business & Professional","signature","per signature","5","15","200","https://getwhattocharge.com/how-much-to-charge-for/notary-public"
"grant-writing","grant writing","Business & Professional","project","per project","1000","4000","12000","https://getwhattocharge.com/how-much-to-charge-for/grant-writing"
"payroll-services","payroll services","Business & Professional","month","per month","100","300","1000","https://getwhattocharge.com/how-much-to-charge-for/payroll-services"
"hr-consulting","HR consulting","Business & Professional","hour","per hour","100","200","400","https://getwhattocharge.com/how-much-to-charge-for/hr-consulting"
"market-research","market research","Business & Professional","project","per project","2000","8000","30000","https://getwhattocharge.com/how-much-to-charge-for/market-research"
"virtual-receptionist","virtual receptionist","Business & Professional","month","per month","100","300","1000","https://getwhattocharge.com/how-much-to-charge-for/virtual-receptionist"
"business-plan-writing","business plan writing","Business & Professional","project","per project","500","2000","7000","https://getwhattocharge.com/how-much-to-charge-for/business-plan-writing"
"public-relations","public relations","Business & Professional","month","per month (retainer)","1500","5000","15000","https://getwhattocharge.com/how-much-to-charge-for/public-relations"
"podcast-editing","podcast editing","Creative & Freelance","episode","per episode","50","150","500","https://getwhattocharge.com/how-much-to-charge-for/podcast-editing"
"photo-retouching","photo retouching","Creative & Freelance","image","per image","2","10","75","https://getwhattocharge.com/how-much-to-charge-for/photo-retouching"
"illustration","illustration","Creative & Freelance","project","per project","150","600","3000","https://getwhattocharge.com/how-much-to-charge-for/illustration"
"animation","animation & motion graphics","Creative & Freelance","minute","per finished minute","1000","3000","10000","https://getwhattocharge.com/how-much-to-charge-for/animation"
"3d-rendering","3d rendering","Creative & Freelance","image","per render","150","500","2500","https://getwhattocharge.com/how-much-to-charge-for/3d-rendering"
"ghostwriting","ghostwriting","Creative & Freelance","project","per project","5000","20000","60000","https://getwhattocharge.com/how-much-to-charge-for/ghostwriting"
"book-editing","book editing","Creative & Freelance","word","per word","0.01","0.03","0.08","https://getwhattocharge.com/how-much-to-charge-for/book-editing"
"proofreading","proofreading","Creative & Freelance","word","per word","0.01","0.02","0.04","https://getwhattocharge.com/how-much-to-charge-for/proofreading"
"technical-writing","technical writing","Creative & Freelance","hour","per hour","50","90","175","https://getwhattocharge.com/how-much-to-charge-for/technical-writing"
"presentation-design","presentation design","Creative & Freelance","project","per deck","300","1500","8000","https://getwhattocharge.com/how-much-to-charge-for/presentation-design"
"data-analysis","data analysis","Creative & Freelance","project","per project","1000","4000","20000","https://getwhattocharge.com/how-much-to-charge-for/data-analysis"
"ppc-management","PPC management","Creative & Freelance","month","per month (retainer)","500","1500","5000","https://getwhattocharge.com/how-much-to-charge-for/ppc-management"
"personal-chef","personal chef","Food & Culinary","event","per event","200","500","1500","https://getwhattocharge.com/how-much-to-charge-for/personal-chef"
"meal-prep-service","meal prep service","Food & Culinary","week","per week","100","250","500","https://getwhattocharge.com/how-much-to-charge-for/meal-prep-service"
"cooking-classes","cooking classes","Food & Culinary","class","per person","40","85","200","https://getwhattocharge.com/how-much-to-charge-for/cooking-classes"
"charcuterie-boards","charcuterie boards","Food & Culinary","board","per board","50","100","400","https://getwhattocharge.com/how-much-to-charge-for/charcuterie-boards"
"custom-baking","custom baking","Food & Culinary","order","per order","25","60","250","https://getwhattocharge.com/how-much-to-charge-for/custom-baking"
"mobile-coffee-cart","mobile coffee cart","Food & Culinary","event","per event","500","1200","3500","https://getwhattocharge.com/how-much-to-charge-for/mobile-coffee-cart"
"dog-boarding","dog boarding","Pet & Childcare","night","per night","35","55","90","https://getwhattocharge.com/how-much-to-charge-for/dog-boarding"
"mobile-pet-grooming","mobile pet grooming","Pet & Childcare","session","per session","75","120","200","https://getwhattocharge.com/how-much-to-charge-for/mobile-pet-grooming"
"pet-waste-removal","pet waste removal","Pet & Childcare","visit","per visit","12","18","35","https://getwhattocharge.com/how-much-to-charge-for/pet-waste-removal"
"horse-training","horse training","Pet & Childcare","month","per month","600","1000","2500","https://getwhattocharge.com/how-much-to-charge-for/horse-training"
"aquarium-maintenance","aquarium maintenance","Pet & Childcare","visit","per visit","50","100","250","https://getwhattocharge.com/how-much-to-charge-for/aquarium-maintenance"
"nanny","nanny services","Pet & Childcare","hour","per hour","18","25","40","https://getwhattocharge.com/how-much-to-charge-for/nanny"
"waxing","waxing services","Beauty & Wellness","service","per service","15","50","120","https://getwhattocharge.com/how-much-to-charge-for/waxing"
"microblading","microblading","Beauty & Wellness","session","per session","350","600","1000","https://getwhattocharge.com/how-much-to-charge-for/microblading"
"permanent-makeup","permanent makeup","Beauty & Wellness","session","per session","300","550","900","https://getwhattocharge.com/how-much-to-charge-for/permanent-makeup"
"teeth-whitening","cosmetic teeth whitening","Beauty & Wellness","session","per session","75","150","350","https://getwhattocharge.com/how-much-to-charge-for/teeth-whitening"
"eyebrow-threading","eyebrow threading","Beauty & Wellness","service","per service","8","18","40","https://getwhattocharge.com/how-much-to-charge-for/eyebrow-threading"
"hair-extensions","hair extensions","Beauty & Wellness","service","per service","200","600","2000","https://getwhattocharge.com/how-much-to-charge-for/hair-extensions"
"nutrition-coaching","nutrition coaching","Beauty & Wellness","month","per month","100","250","600","https://getwhattocharge.com/how-much-to-charge-for/nutrition-coaching"
"pilates-instruction","pilates instruction","Beauty & Wellness","session","per session","50","90","150","https://getwhattocharge.com/how-much-to-charge-for/pilates-instruction"
"group-fitness-instructor","group fitness instruction","Beauty & Wellness","class","per class","30","60","120","https://getwhattocharge.com/how-much-to-charge-for/group-fitness-instructor"
"acupuncture","acupuncture","Beauty & Wellness","session","per session","75","110","200","https://getwhattocharge.com/how-much-to-charge-for/acupuncture"
"wedding-planning","wedding planning","Events & Photography","event","per wedding","2000","5000","20000","https://getwhattocharge.com/how-much-to-charge-for/wedding-planning"
"florist","event florist","Events & Photography","event","per event","800","3000","12000","https://getwhattocharge.com/how-much-to-charge-for/florist"
"photo-booth-rental","photo booth rental","Events & Photography","event","per event","400","700","1500","https://getwhattocharge.com/how-much-to-charge-for/photo-booth-rental"
"balloon-decor","balloon decor","Events & Photography","project","per project","150","500","2500","https://getwhattocharge.com/how-much-to-charge-for/balloon-decor"
"face-painting","face painting","Events & Photography","hour","per hour","75","125","250","https://getwhattocharge.com/how-much-to-charge-for/face-painting"
"wedding-officiant","wedding officiant","Events & Photography","ceremony","per ceremony","200","500","1000","https://getwhattocharge.com/how-much-to-charge-for/wedding-officiant"
"event-videography","event videography","Events & Photography","event","per event","1000","2500","8000","https://getwhattocharge.com/how-much-to-charge-for/event-videography"
"drone-photography","drone photography","Events & Photography","job","per shoot","200","450","1200","https://getwhattocharge.com/how-much-to-charge-for/drone-photography"
"language-lessons","language lessons","Lessons & Coaching","hour","per hour","25","45","90","https://getwhattocharge.com/how-much-to-charge-for/language-lessons"
"swim-lessons","swim lessons","Lessons & Coaching","lesson","per lesson","25","45","90","https://getwhattocharge.com/how-much-to-charge-for/swim-lessons"
"art-lessons","art lessons","Lessons & Coaching","hour","per hour","30","55","100","https://getwhattocharge.com/how-much-to-charge-for/art-lessons"
"singing-lessons","singing lessons","Lessons & Coaching","hour","per hour","30","60","120","https://getwhattocharge.com/how-much-to-charge-for/singing-lessons"
"college-admissions-consulting","college admissions consulting","Lessons & Coaching","package","per package","1500","4000","15000","https://getwhattocharge.com/how-much-to-charge-for/college-admissions-consulting"
"coding-lessons","coding lessons","Lessons & Coaching","hour","per hour","40","75","150","https://getwhattocharge.com/how-much-to-charge-for/coding-lessons"
"golf-lessons","golf lessons","Lessons & Coaching","hour","per hour","50","90","200","https://getwhattocharge.com/how-much-to-charge-for/golf-lessons"
"tennis-lessons","tennis lessons","Lessons & Coaching","hour","per hour","40","75","150","https://getwhattocharge.com/how-much-to-charge-for/tennis-lessons"
"public-speaking-coaching","public speaking coaching","Lessons & Coaching","session","per session","100","200","500","https://getwhattocharge.com/how-much-to-charge-for/public-speaking-coaching"
"career-coaching","career coaching","Lessons & Coaching","session","per session","100","175","400","https://getwhattocharge.com/how-much-to-charge-for/career-coaching"
"resin-art","resin art","Makers & Crafts","item","per item","30","80","350","https://getwhattocharge.com/how-much-to-charge-for/resin-art"
"embroidery","custom embroidery","Makers & Crafts","item","per item","10","25","80","https://getwhattocharge.com/how-much-to-charge-for/embroidery"
"sign-making","sign making","Makers & Crafts","sign","per sign","50","200","1500","https://getwhattocharge.com/how-much-to-charge-for/sign-making"
"leatherwork","leatherwork","Makers & Crafts","item","per item","40","120","600","https://getwhattocharge.com/how-much-to-charge-for/leatherwork"
"macrame","macrame","Makers & Crafts","item","per item","25","70","300","https://getwhattocharge.com/how-much-to-charge-for/macrame"
"custom-stickers","custom stickers","Makers & Crafts","order","per order","15","50","250","https://getwhattocharge.com/how-much-to-charge-for/custom-stickers"
"calligraphy","calligraphy","Makers & Crafts","project","per project","50","200","1500","https://getwhattocharge.com/how-much-to-charge-for/calligraphy"
"commissioned-art","commissioned art","Makers & Crafts","piece","per piece","150","500","3000","https://getwhattocharge.com/how-much-to-charge-for/commissioned-art"
"food-truck-catering","food truck catering","Food & Culinary","person","per person","15","22","35","https://getwhattocharge.com/how-much-to-charge-for/food-truck-catering"
"content-creator","content creator","Creative & Freelance","post","per deliverable","100","400","2500","https://getwhattocharge.com/how-much-to-charge-for/content-creator"
"process-server","process serving","Business & Professional","serve","per serve","45","85","200","https://getwhattocharge.com/how-much-to-charge-for/process-server"
"private-investigator","private investigation","Business & Professional","hour","per hour","50","100","200","https://getwhattocharge.com/how-much-to-charge-for/private-investigator"
"ev-charger-installation","EV charger installation","Trades & Repair","job","per install","400","1200","4000","https://getwhattocharge.com/how-much-to-charge-for/ev-charger-installation"
"airbnb-management","Airbnb management","Business & Professional","month","per property / month","200","500","1500","https://getwhattocharge.com/how-much-to-charge-for/airbnb-management"
"solar-panel-installation","solar panel installation","Construction & Renovation","system","per system","10000","20000","35000","https://getwhattocharge.com/how-much-to-charge-for/solar-panel-installation"
"bounce-house-rental","bounce house rental","Events & Photography","day","per day","100","200","500","https://getwhattocharge.com/how-much-to-charge-for/bounce-house-rental"
"ai-consulting","AI consulting","Business & Professional","hour","per hour","100","200","400","https://getwhattocharge.com/how-much-to-charge-for/ai-consulting"
"knife-sharpening","knife sharpening","Home Services","knife","per knife","3","8","20","https://getwhattocharge.com/how-much-to-charge-for/knife-sharpening"
"estate-sale-services","estate sale services","Business & Professional","sale","per sale","600","1800","5000","https://getwhattocharge.com/how-much-to-charge-for/estate-sale-services"
"personal-stylist","personal styling","Beauty & Wellness","session","per session","75","150","400","https://getwhattocharge.com/how-much-to-charge-for/personal-stylist"
"custom-closet-design","custom closet design","Construction & Renovation","project","per closet","1000","3000","10000","https://getwhattocharge.com/how-much-to-charge-for/custom-closet-design"
"water-damage-restoration","water damage restoration","Home Services","job","per job","1200","3500","8000","https://getwhattocharge.com/how-much-to-charge-for/water-damage-restoration"
"mold-remediation","mold remediation","Home Services","job","per job","500","2500","6000","https://getwhattocharge.com/how-much-to-charge-for/mold-remediation"
"gutter-installation","gutter installation","Home Services","ft","per linear foot","5","9","18","https://getwhattocharge.com/how-much-to-charge-for/gutter-installation"
"window-replacement","window replacement","Construction & Renovation","window","per window","300","650","1500","https://getwhattocharge.com/how-much-to-charge-for/window-replacement"
"newborn-photography","newborn photography","Events & Photography","session","per session","200","450","1200","https://getwhattocharge.com/how-much-to-charge-for/newborn-photography"
"boudoir-photography","boudoir photography","Events & Photography","session","per session","250","500","1500","https://getwhattocharge.com/how-much-to-charge-for/boudoir-photography"
"pet-photography","pet photography","Events & Photography","session","per session","150","350","800","https://getwhattocharge.com/how-much-to-charge-for/pet-photography"
"sound-engineering","mixing and mastering","Creative & Freelance","song","per song","100","350","1000","https://getwhattocharge.com/how-much-to-charge-for/sound-engineering"
"wedding-coordination","wedding coordination","Events & Photography","event","per wedding","800","1800","4500","https://getwhattocharge.com/how-much-to-charge-for/wedding-coordination"
"plantscaping","interior plant care","Home Services","month","per month","100","350","1500","https://getwhattocharge.com/how-much-to-charge-for/plantscaping"
"fitness-bootcamp","fitness bootcamp","Lessons & Coaching","class","per person, per class","10","20","35","https://getwhattocharge.com/how-much-to-charge-for/fitness-bootcamp"
"doula-services","doula services","Beauty & Wellness","birth","per birth","800","1500","3500","https://getwhattocharge.com/how-much-to-charge-for/doula-services"
"lactation-consulting","lactation consulting","Beauty & Wellness","visit","per visit","100","200","400","https://getwhattocharge.com/how-much-to-charge-for/lactation-consulting"
"mobile-iv-therapy","mobile IV therapy","Beauty & Wellness","treatment","per treatment","100","200","400","https://getwhattocharge.com/how-much-to-charge-for/mobile-iv-therapy"
"reiki-healing","reiki healing","Beauty & Wellness","session","per session","50","90","175","https://getwhattocharge.com/how-much-to-charge-for/reiki-healing"
"sign-language-interpreting","sign language interpreting","Business & Professional","hour","per hour","40","75","150","https://getwhattocharge.com/how-much-to-charge-for/sign-language-interpreting"
"home-theater-installation","home theater installation","Trades & Repair","project","per project","500","2000","8000","https://getwhattocharge.com/how-much-to-charge-for/home-theater-installation"
